GEOID,STATEFP,STATE,COUNTYFP,COUNTY,POP_25OV22,N_HSDIP22,HS_DIP22,SOM_COLL22,ASSO_DEG22,BACH_DEG22,MAST_DEG22,PROF_DEG22,DOCT_DEG22
26163532100,26, Michigan,163, Wayne County,1437,117,293,394,122,283,181,43,4
26163532400,26, Michigan,163, Wayne County,959,31,227,154,305,151,68,23,0
26163532600,26, Michigan,163, Wayne County,1641,305,272,301,129,242,354,28,10
26163532700,26, Michigan,163, Wayne County,297,26,128,30,50,24,36,0,3
26163533000,26, Michigan,163, Wayne County,1140,244,319,234,40,182,102,5,14
26163533100,26, Michigan,163, Wayne County,873,188,239,289,56,77,24,0,0
26163533200,26, Michigan,163, Wayne County,618,153,230,176,14,41,0,4,0
26163533300,26, Michigan,163, Wayne County,913,121,337,235,74,93,53,0,0
26163533400,26, Michigan,163, Wayne County,1516,231,633,463,100,43,46,0,0
26163533600,26, Michigan,163, Wayne County,931,272,351,181,24,45,58,0,0
26163533800,26, Michigan,163, Wayne County,1281,142,457,458,92,104,28,0,0
26163533900,26, Michigan,163, Wayne County,1888,89,319,368,131,607,279,55,40
26163534100,26, Michigan,163, Wayne County,1235,192,543,320,37,86,51,1,5
26163534200,26, Michigan,163, Wayne County,1812,256,698,510,172,96,69,0,11
26163534300,26, Michigan,163, Wayne County,792,107,415,199,29,6,36,0,0
26163534400,26, Michigan,163, Wayne County,1097,250,459,263,73,22,30,0,0
26163534700,26, Michigan,163, Wayne County,1753,401,562,403,85,96,154,0,52
26163534800,26, Michigan,163, Wayne County,1309,164,547,472,93,15,18,0,0
26163535000,26, Michigan,163, Wayne County,1708,180,662,417,169,132,134,0,14
26163535100,26, Michigan,163, Wayne County,1104,282,561,248,0,13,0,0,0
26163535200,26, Michigan,163, Wayne County,1185,363,400,309,41,49,23,0,0
26163535300,26, Michigan,163, Wayne County,2359,242,1043,693,162,159,60,0,0
26163535600,26, Michigan,163, Wayne County,2960,385,1181,907,189,145,146,0,7
26163535700,26, Michigan,163, Wayne County,998,232,423,179,58,91,15,0,0
26163535800,26, Michigan,163, Wayne County,2953,582,1020,1015,171,82,67,16,0
26163536100,26, Michigan,163, Wayne County,2077,518,893,412,37,110,107,0,0
26163536200,26, Michigan,163, Wayne County,1440,85,403,610,105,159,49,29,0
26163536300,26, Michigan,163, Wayne County,1411,268,435,304,235,169,0,0,0
26163536400,26, Michigan,163, Wayne County,1469,177,398,679,124,59,32,0,0
26163536500,26, Michigan,163, Wayne County,1354,192,317,555,69,198,11,12,0
26163536600,26, Michigan,163, Wayne County,1811,420,779,427,68,71,28,18,0
26163536700,26, Michigan,163, Wayne County,692,52,286,252,49,6,47,0,0
26163536800,26, Michigan,163, Wayne County,1014,122,434,333,35,64,20,6,0
26163536900,26, Michigan,163, Wayne County,2023,342,488,669,355,103,66,0,0
26163537000,26, Michigan,163, Wayne County,2559,710,726,781,155,78,109,0,0
